payroll_id,employee_id,employee_name,role,contract_type,hire_date,termination_date,month,hours_worked,hourly_rate,base_salary,overtime_hours,overtime_pay,bonus,deductions,net_pay,payment_method,payment_status
PAY-E010-2010-11,E010,Ana Torres,Cashier,Full-time,2010-04-01,,2010-11,171,7.5,1200.0,11,144.38,32.28,188.02,1188.64,Bank Transfer,Paid
PAY-E015-2010-11,E015,Ana Torres,Barista,Part-time,2010-10-01,,2010-11,89,8.0,712.0,0,0.0,49.92,136.91,625.01,Bank Transfer,Paid
PAY-E005-2010-11,E005,Ana Torres,Cook,Full-time,2010-02-01,,2010-11,166,9.0,1440.0,6,94.5,13.26,270.33,1277.43,Bank Transfer,Delayed
PAY-E010-2010-12,E010,Ana Torres,Cashier,Full-time,2010-04-01,,2010-12,158,7.5,1185.0,0,0.0,29.23,131.82,1082.41,Bank Transfer,Paid
PAY-E017-2010-12,E017,Cristina Perez,Manager,Full-time,2010-12-01,,2010-12,169,11.0,1760.0,9,173.25,36.85,251.05,1719.05,Cash,Paid
PAY-E005-2010-12,E005,Ana Torres,Cook,Full-time,2010-02-01,,2010-12,158,9.0,1422.0,0,0.0,92.43,253.95,1260.48,Bank Transfer,Paid
PAY-E009-2011-01,E009,Carlos Ruiz,Cook,Full-time,2010-03-01,,2011-01,151,9.18,1386.18,0,0.0,41.73,209.33,1218.58,Bank Transfer,Paid
PAY-E018-2011-01,E018,Luis Moreno,Cook,Full-time,2010-12-01,,2011-01,151,9.18,1386.18,0,0.0,15.41,240.96,1160.63,Bank Transfer,Delayed
PAY-E018-2011-01,E018,Luis Moreno,Cook,Full-time,2010-12-01,,2011-01,156,9.18,1432.08,0,0.0,34.1,224.85,1241.33,Cash,Paid
PAY-E005-2011-02,E005,Ana Torres,Cook,Full-time,2010-02-01,,2011-02,178,9.18,1468.8,18,289.17,20.61,203.38,1575.2,Cash,Paid
PAY-E008-2011-02,E008,Cristina Perez,Barista,Full-time,2010-03-01,,2011-02,163,8.16,1305.6,3,42.84,40.11,234.84,1153.71,Bank Transfer,Paid
PAY-E006-2011-02,E006,Cristina Perez,Cashier,Full-time,2010-02-01,,2011-02,175,7.65,1224.0,15,200.81,35.06,190.66,1269.21,Bank Transfer,Delayed
PAY-E008-2011-03,E008,Cristina Perez,Barista,Full-time,2010-03-01,,2011-03,180,8.16,1305.6,20,285.6,38.67,208.77,1421.1,Cash,Paid
PAY-E003-2011-03,E003,Ana Torres,Cashier,Full-time,2010-01-01,,2011-03,176,7.65,1224.0,16,214.2,26.81,256.58,1208.43,Bank Transfer,Delayed
PAY-E014-2011-04,E014,Carlos Ruiz,Manager,Part-time,2010-09-01,,2011-04,73,11.22,819.06,0,0.0,19.26,122.5,715.82,Cash,Paid
PAY-E011-2011-04,E011,Luis Moreno,Barista,Part-time,2010-05-01,,2011-04,83,8.16,677.28,0,0.0,0.08,117.89,559.47,Bank Transfer,Paid
PAY-E017-2011-04,E017,Cristina Perez,Manager,Full-time,2010-12-01,,2011-04,152,11.22,1705.44,0,0.0,47.44,304.41,1448.47,Cash,Paid
PAY-E010-2011-05,E010,Ana Torres,Cashier,Full-time,2010-04-01,,2011-05,163,7.65,1224.0,3,40.16,16.31,199.47,1081.0,Bank Transfer,Paid
PAY-E022-2011-05,E022,Marta Fernandez,Manager,Full-time,2011-03-01,,2011-05,171,11.22,1795.2,11,215.99,47.02,317.35,1740.86,Bank Transfer,Paid
PAY-E001-2011-06,E001,Carlos Ruiz,Cook,Full-time,2010-01-01,,2011-06,169,9.18,1468.8,9,144.59,72.38,231.29,1454.48,Cash,Paid
PAY-E007-2011-06,E007,Javier Lopez,Barista,Full-time,2010-02-01,,2011-06,166,8.16,1305.6,6,85.68,57.85,249.39,1199.74,Bank Transfer,Paid
PAY-E019-2011-06,E019,Cristina Perez,Cook,Full-time,2011-01-01,,2011-06,159,9.18,1459.62,0,0.0,61.24,229.1,1291.76,Cash,Paid
PAY-E008-2011-07,E008,Cristina Perez,Barista,Full-time,2010-03-01,,2011-07,150,8.16,1224.0,0,0.0,23.7,222.98,1024.72,Bank Transfer,Paid
PAY-E005-2011-07,E005,Ana Torres,Cook,Full-time,2010-02-01,,2011-07,178,9.18,1468.8,18,289.17,70.38,211.27,1617.08,Cash,Paid
PAY-E004-2011-08,E004,Carlos Ruiz,Manager,Full-time,2010-01-01,,2011-08,155,11.22,1739.1,0,0.0,84.33,283.86,1539.57,Cash,Paid
PAY-E008-2011-08,E008,Cristina Perez,Barista,Full-time,2010-03-01,,2011-08,157,8.16,1281.12,0,0.0,93.4,150.8,1223.72,Bank Transfer,Paid
PAY-E018-2011-09,E018,Luis Moreno,Cook,Full-time,2010-12-01,,2011-09,163,9.18,1468.8,3,48.2,41.53,224.16,1334.37,Bank Transfer,Paid
PAY-E025-2011-09,E025,Cristina Perez,Barista,Part-time,2011-08-01,,2011-09,85,8.16,693.6,0,0.0,22.5,114.68,601.42,Cash,Paid
PAY-E020-2011-09,E020,Ana Torres,Manager,Part-time,2011-01-01,,2011-09,86,11.22,964.92,0,0.0,24.23,117.85,871.3,Cash,Paid
PAY-E017-2011-09,E017,Cristina Perez,Manager,Full-time,2010-12-01,,2011-09,159,11.22,1783.98,0,0.0,11.72,227.82,1567.88,Bank Transfer,Paid
PAY-E005-2011-10,E005,Ana Torres,Cook,Full-time,2010-02-01,,2011-10,163,9.18,1468.8,3,48.2,20.38,220.47,1316.91,Cash,Paid
PAY-E003-2011-10,E003,Ana Torres,Cashier,Full-time,2010-01-01,,2011-10,176,7.65,1224.0,16,214.2,21.01,251.55,1207.66,Bank Transfer,Delayed
PAY-E001-2011-11,E001,Carlos Ruiz,Cook,Full-time,2010-01-01,,2011-11,167,9.18,1468.8,7,112.45,39.99,278.57,1342.67,Cash,Paid
PAY-E010-2011-11,E010,Ana Torres,Cashier,Full-time,2010-04-01,,2011-11,163,7.65,1224.0,3,40.16,24.28,168.93,1119.51,Cash,Paid
PAY-E014-2011-11,E014,Carlos Ruiz,Manager,Part-time,2010-09-01,,2011-11,96,11.22,1077.12,0,0.0,23.37,121.29,979.2,Bank Transfer,Delayed
PAY-E024-2011-11,E024,Laura Gomez,Cook,Full-time,2011-04-01,,2011-11,168,9.18,1468.8,8,128.52,28.22,166.08,1459.46,Cash,Paid
PAY-E015-2011-12,E015,Ana Torres,Barista,Part-time,2010-10-01,,2011-12,94,8.16,767.04,0,0.0,96.1,115.42,747.72,Bank Transfer,Paid
PAY-E025-2011-12,E025,Cristina Perez,Barista,Part-time,2011-08-01,,2011-12,93,8.16,758.88,0,0.0,63.15,147.96,674.07,Cash,Paid
PAY-E009-2011-12,E009,Carlos Ruiz,Cook,Full-time,2010-03-01,,2011-12,152,9.18,1395.36,0,0.0,82.5,224.84,1253.02,Bank Transfer,Delayed
PAY-E020-2012-01,E020,Ana Torres,Manager,Part-time,2011-01-01,,2012-01,100,11.44,1144.0,0,0.0,10.9,180.11,974.79,Cash,Paid
PAY-E019-2012-01,E019,Cristina Perez,Cook,Full-time,2011-01-01,,2012-01,169,9.36,1497.6,9,147.42,48.19,266.63,1426.58,Bank Transfer,Pending
PAY-E010-2012-02,E010,Ana Torres,Cashier,Full-time,2010-04-01,,2012-02,162,7.8,1248.0,2,27.3,47.07,153.22,1169.15,Bank Transfer,Paid
PAY-E013-2012-02,E013,Luis Moreno,Cashier,Part-time,2010-08-01,,2012-02,94,7.8,733.2,0,0.0,15.08,115.79,632.49,Bank Transfer,Paid
PAY-E012-2012-03,E012,Cristina Perez,Manager,Full-time,2010-06-01,,2012-03,177,11.44,1830.4,17,340.34,21.0,305.13,1886.61,Cash,Pending
PAY-E022-2012-03,E022,Marta Fernandez,Manager,Full-time,2011-03-01,,2012-03,170,11.44,1830.4,10,200.2,44.58,283.84,1791.34,Bank Transfer,Paid
PAY-E017-2012-03,E017,Cristina Perez,Manager,Full-time,2010-12-01,,2012-03,173,11.44,1830.4,13,260.26,26.09,321.82,1794.93,Cash,Paid
PAY-E001-2012-03,E001,Carlos Ruiz,Cook,Full-time,2010-01-01,,2012-03,176,9.36,1497.6,16,262.08,36.55,218.19,1578.04,Bank Transfer,Paid
PAY-E019-2012-04,E019,Cristina Perez,Cook,Full-time,2011-01-01,,2012-04,160,9.36,1497.6,0,0.0,1.43,251.95,1247.08,Bank Transfer,Paid
PAY-E013-2012-04,E013,Luis Moreno,Cashier,Part-time,2010-08-01,,2012-04,81,7.8,631.8,0,0.0,39.89,85.46,586.23,Cash,Paid
PAY-E003-2012-05,E003,Ana Torres,Cashier,Full-time,2010-01-01,,2012-05,175,7.8,1248.0,15,204.75,0.86,179.58,1274.03,Cash,Paid
PAY-E008-2012-05,E008,Cristina Perez,Barista,Full-time,2010-03-01,,2012-05,159,8.32,1322.88,0,0.0,33.2,175.64,1180.44,Cash,Paid
PAY-E021-2012-05,E021,Luis Moreno,Barista,Part-time,2011-01-01,,2012-05,93,8.32,773.76,0,0.0,27.52,102.68,698.6,Cash,Paid
PAY-E015-2012-05,E015,Ana Torres,Barista,Part-time,2010-10-01,,2012-05,78,8.32,648.96,0,0.0,11.53,104.16,556.33,Cash,Paid
PAY-E023-2012-06,E023,Javier Lopez,Cashier,Full-time,2011-03-01,,2012-06,153,7.8,1193.4,0,0.0,86.61,158.34,1121.67,Cash,Paid
PAY-E024-2012-06,E024,Laura Gomez,Cook,Full-time,2011-04-01,,2012-06,150,9.36,1404.0,0,0.0,76.64,163.06,1317.58,Bank Transfer,Pending
PAY-E025-2012-06,E025,Cristina Perez,Barista,Part-time,2011-08-01,,2012-06,87,8.32,723.84,0,0.0,43.37,134.67,632.54,Cash,Paid
PAY-E010-2012-06,E010,Ana Torres,Cashier,Full-time,2010-04-01,,2012-06,150,7.8,1170.0,0,0.0,65.93,170.0,1065.93,Cash,Paid
PAY-E013-2012-07,E013,Luis Moreno,Cashier,Part-time,2010-08-01,,2012-07,90,7.8,702.0,0,0.0,74.92,87.12,689.8,Cash,Paid
PAY-E019-2012-07,E019,Cristina Perez,Cook,Full-time,2011-01-01,,2012-07,157,9.36,1469.52,0,0.0,29.48,241.57,1257.43,Bank Transfer,Paid
PAY-E015-2012-08,E015,Ana Torres,Barista,Part-time,2010-10-01,,2012-08,100,8.32,832.0,0,0.0,81.02,136.99,776.03,Cash,Paid
PAY-E004-2012-08,E004,Carlos Ruiz,Manager,Full-time,2010-01-01,,2012-08,155,11.44,1773.2,0,0.0,39.19,261.27,1551.12,Bank Transfer,Paid
PAY-E007-2012-08,E007,Javier Lopez,Barista,Full-time,2010-02-01,,2012-08,164,8.32,1331.2,4,58.24,75.15,201.52,1263.07,Bank Transfer,Paid
PAY-E017-2012-09,E017,Cristina Perez,Manager,Full-time,2010-12-01,,2012-09,176,11.44,1830.4,16,320.32,7.11,226.08,1931.75,Cash,Paid
PAY-E013-2012-09,E013,Luis Moreno,Cashier,Part-time,2010-08-01,,2012-09,96,7.8,748.8,0,0.0,28.46,95.67,681.59,Bank Transfer,Paid
PAY-E015-2012-09,E015,Ana Torres,Barista,Part-time,2010-10-01,,2012-09,79,8.32,657.28,0,0.0,34.99,121.43,570.84,Cash,Paid
PAY-E018-2012-09,E018,Luis Moreno,Cook,Full-time,2010-12-01,,2012-09,169,9.36,1497.6,9,147.42,1.99,221.63,1425.38,Cash,Paid
PAY-E018-2012-10,E018,Luis Moreno,Cook,Full-time,2010-12-01,,2012-10,165,9.36,1497.6,5,81.9,25.95,217.34,1388.11,Cash,Paid
PAY-E012-2012-10,E012,Cristina Perez,Manager,Full-time,2010-06-01,,2012-10,168,11.44,1830.4,8,160.16,21.79,332.32,1680.03,Bank Transfer,Paid
PAY-E007-2012-11,E007,Javier Lopez,Barista,Full-time,2010-02-01,,2012-11,159,8.32,1322.88,0,0.0,33.13,179.04,1176.97,Bank Transfer,Paid
PAY-E022-2012-11,E022,Marta Fernandez,Manager,Full-time,2011-03-01,,2012-11,160,11.44,1830.4,0,0.0,12.62,201.39,1641.63,Cash,Delayed
PAY-E032-2012-11,E032,Marta Fernandez,Manager,Full-time,2012-08-01,,2012-11,176,11.44,1830.4,16,320.32,49.41,335.77,1864.36,Cash,Paid
PAY-E032-2012-12,E032,Marta Fernandez,Manager,Full-time,2012-08-01,,2012-12,156,11.44,1784.64,0,0.0,41.36,201.74,1624.26,Cash,Paid
PAY-E004-2012-12,E004,Carlos Ruiz,Manager,Full-time,2010-01-01,,2012-12,172,11.44,1830.4,12,240.24,58.78,217.86,1911.56,Bank Transfer,Paid
PAY-E027-2013-01,E027,Javier Lopez,Cashier,Full-time,2012-01-01,,2013-01,158,7.96,1257.68,0,0.0,20.77,177.19,1101.26,Cash,Paid
PAY-E010-2013-01,E010,Ana Torres,Cashier,Full-time,2010-04-01,,2013-01,167,7.96,1273.6,7,97.51,7.23,158.85,1219.49,Bank Transfer,Delayed
PAY-E019-2013-01,E019,Cristina Perez,Cook,Full-time,2011-01-01,,2013-01,158,9.55,1508.9,0,0.0,38.63,260.53,1287.0,Cash,Delayed
PAY-E032-2013-02,E032,Marta Fernandez,Manager,Full-time,2012-08-01,,2013-02,177,11.67,1867.2,17,347.18,9.43,346.47,1877.34,Cash,Paid
PAY-E029-2013-02,E029,Javier Lopez,Manager,Full-time,2012-05-01,,2013-02,174,11.67,1867.2,14,285.91,20.54,272.69,1900.96,Cash,Paid
PAY-E023-2013-02,E023,Javier Lopez,Cashier,Full-time,2011-03-01,,2013-02,175,7.96,1273.6,15,208.95,19.06,268.9,1232.71,Bank Transfer,Paid
PAY-E035-2013-02,E035,Javier Lopez,Barista,Part-time,2013-01-01,,2013-02,71,8.49,602.79,0,0.0,6.31,107.95,501.15,Cash,Delayed
PAY-E027-2013-03,E027,Javier Lopez,Cashier,Full-time,2012-01-01,,2013-03,177,7.96,1273.6,17,236.81,16.43,235.05,1291.79,Cash,Pending
PAY-E010-2013-03,E010,Ana Torres,Cashier,Full-time,2010-04-01,,2013-03,170,7.96,1273.6,10,139.3,35.94,232.9,1215.94,Bank Transfer,Paid
PAY-E026-2013-03,E026,Javier Lopez,Cook,Full-time,2011-12-01,,2013-03,157,9.55,1499.35,0,0.0,31.56,265.88,1265.03,Bank Transfer,Paid
PAY-E007-2013-04,E007,Javier Lopez,Barista,Full-time,2010-02-01,,2013-04,159,8.49,1349.91,0,0.0,17.92,183.91,1183.92,Bank Transfer,Paid
PAY-E020-2013-04,E020,Ana Torres,Manager,Part-time,2011-01-01,,2013-04,88,11.67,1026.96,0,0.0,34.09,121.39,939.66,Bank Transfer,Paid
PAY-E003-2013-04,E003,Ana Torres,Cashier,Full-time,2010-01-01,,2013-04,177,7.96,1273.6,17,236.81,19.13,236.54,1293.0,Cash,Delayed
PAY-E001-2013-05,E001,Carlos Ruiz,Cook,Full-time,2010-01-01,,2013-05,171,9.55,1528.0,11,183.84,27.33,184.19,1554.98,Cash,Pending
PAY-E030-2013-05,E030,Luis Moreno,Cashier,Full-time,2012-06-01,,2013-05,159,7.96,1265.64,0,0.0,31.95,173.81,1123.78,Cash,Paid
PAY-E016-2013-06,E016,Carlos Ruiz,Cook,Full-time,2010-11-01,,2013-06,158,9.55,1508.9,0,0.0,20.65,258.81,1270.74,Bank Transfer,Delayed
PAY-E023-2013-06,E023,Javier Lopez,Cashier,Full-time,2011-03-01,,2013-06,173,7.96,1273.6,13,181.09,59.74,260.99,1253.44,Cash,Paid
PAY-E019-2013-06,E019,Cristina Perez,Cook,Full-time,2011-01-01,,2013-06,157,9.55,1499.35,0,0.0,68.57,200.98,1366.94,Bank Transfer,Paid
PAY-E009-2013-07,E009,Carlos Ruiz,Cook,Full-time,2010-03-01,,2013-07,155,9.55,1480.25,0,0.0,36.06,247.04,1269.27,Cash,Paid
PAY-E003-2013-07,E003,Ana Torres,Cashier,Full-time,2010-01-01,,2013-07,179,7.96,1273.6,19,264.67,41.8,178.81,1401.26,Cash,Pending
PAY-E029-2013-07,E029,Javier Lopez,Manager,Full-time,2012-05-01,,2013-07,159,11.67,1855.53,0,0.0,79.72,245.96,1689.29,Bank Transfer,Paid
PAY-E019-2013-07,E019,Cristina Perez,Cook,Full-time,2011-01-01,,2013-07,152,9.55,1451.6,0,0.0,31.26,262.94,1219.92,Cash,Pending
PAY-E017-2013-08,E017,Cristina Perez,Manager,Full-time,2010-12-01,,2013-08,165,11.67,1867.2,5,102.11,22.0,339.99,1651.32,Cash,Delayed
PAY-E041-2013-08,E041,Luis Moreno,Cook,Full-time,2013-07-01,,2013-08,157,9.55,1499.35,0,0.0,71.81,236.98,1334.18,Cash,Delayed
PAY-E007-2013-08,E007,Javier Lopez,Barista,Full-time,2010-02-01,,2013-08,159,8.49,1349.91,0,0.0,71.94,155.46,1266.39,Bank Transfer,Delayed
PAY-E008-2013-09,E008,Cristina Perez,Barista,Full-time,2010-03-01,,2013-09,178,8.49,1358.4,18,267.44,20.74,177.7,1468.88,Cash,Paid
PAY-E043-2013-09,E043,Javier Lopez,Cashier,Full-time,2013-09-01,,2013-09,180,7.96,1273.6,20,278.6,47.58,164.17,1435.61,Cash,Paid
PAY-E035-2013-09,E035,Javier Lopez,Barista,Part-time,2013-01-01,,2013-09,84,8.49,713.16,0,0.0,47.53,128.13,632.56,Bank Transfer,Pending
PAY-E042-2013-10,E042,Javier Lopez,Barista,Full-time,2013-08-01,,2013-10,170,8.49,1358.4,10,148.58,31.97,273.45,1265.5,Bank Transfer,Paid
PAY-E006-2013-10,E006,Cristina Perez,Cashier,Full-time,2010-02-01,,2013-10,157,7.96,1249.72,0,0.0,49.44,211.71,1087.45,Bank Transfer,Paid
PAY-E022-2013-11,E022,Marta Fernandez,Manager,Full-time,2011-03-01,,2013-11,150,11.67,1750.5,0,0.0,8.71,183.3,1575.91,Cash,Paid
PAY-E039-2013-11,E039,Javier Lopez,Cook,Full-time,2013-05-01,,2013-11,173,9.55,1528.0,13,217.26,3.18,237.55,1510.89,Cash,Paid
PAY-E012-2013-11,E012,Cristina Perez,Manager,Full-time,2010-06-01,,2013-11,153,11.67,1785.51,0,0.0,22.6,212.86,1595.25,Bank Transfer,Paid
PAY-E016-2013-11,E016,Carlos Ruiz,Cook,Full-time,2010-11-01,,2013-11,179,9.55,1528.0,19,317.54,43.35,267.69,1621.2,Cash,Paid
PAY-E044-2013-12,E044,Cristina Perez,Barista,Part-time,2013-10-01,,2013-12,72,8.49,611.28,0,0.0,30.1,96.17,545.21,Cash,Paid
PAY-E039-2014-01,E039,Javier Lopez,Cook,Full-time,2013-05-01,,2014-01,180,9.74,1558.4,20,340.9,7.63,331.5,1575.43,Bank Transfer,Paid
PAY-E045-2014-01,E045,Cristina Perez,Cashier,Part-time,2013-11-01,,2014-01,72,8.12,584.64,0,0.0,4.66,63.48,525.82,Cash,Paid
PAY-E015-2014-01,E015,Ana Torres,Barista,Part-time,2010-10-01,,2014-01,87,8.66,753.42,0,0.0,3.0,133.53,622.89,Cash,Paid
PAY-E030-2014-01,E030,Luis Moreno,Cashier,Full-time,2012-06-01,,2014-01,163,8.12,1299.2,3,42.63,17.68,208.31,1151.2,Cash,Delayed
PAY-E047-2014-01,E047,Carlos Ruiz,Barista,Full-time,2013-11-01,,2014-01,173,8.66,1385.6,13,197.01,2.57,194.99,1390.19,Cash,Paid
PAY-E024-2014-01,E024,Laura Gomez,Cook,Full-time,2011-04-01,,2014-01,168,9.74,1558.4,8,136.36,25.37,193.31,1526.82,Cash,Paid
PAY-E036-2014-02,E036,Marta Fernandez,Barista,Part-time,2013-02-01,,2014-02,89,8.66,770.74,0,0.0,33.75,116.28,688.21,Cash,Paid
PAY-E049-2014-02,E049,Laura Gomez,Manager,Part-time,2013-12-01,,2014-02,78,11.91,928.98,0,0.0,35.13,120.24,843.87,Cash,Paid
PAY-E036-2014-02,E036,Marta Fernandez,Barista,Part-time,2013-02-01,,2014-02,75,8.66,649.5,0,0.0,43.49,100.7,592.29,Cash,Paid
PAY-E040-2014-02,E040,Cristina Perez,Manager,Full-time,2013-06-01,,2014-02,173,11.91,1905.6,13,270.95,31.66,226.24,1981.97,Bank Transfer,Paid
PAY-E024-2014-03,E024,Laura Gomez,Cook,Full-time,2011-04-01,,2014-03,158,9.74,1538.92,0,0.0,10.78,218.49,1331.21,Cash,Paid
PAY-E037-2014-03,E037,Laura Gomez,Manager,Part-time,2013-03-01,,2014-03,79,11.91,940.89,0,0.0,33.91,143.73,831.07,Cash,Paid
PAY-E029-2014-03,E029,Javier Lopez,Manager,Full-time,2012-05-01,,2014-03,162,11.91,1905.6,2,41.69,49.22,208.4,1788.11,Bank Transfer,Paid
PAY-E032-2014-03,E032,Marta Fernandez,Manager,Full-time,2012-08-01,,2014-03,156,11.91,1857.96,0,0.0,38.37,305.56,1590.77,Cash,Paid
PAY-E028-2014-04,E028,Carlos Ruiz,Manager,Part-time,2012-04-01,,2014-04,82,11.91,976.62,0,0.0,43.09,105.42,914.29,Bank Transfer,Paid
PAY-E033-2014-04,E033,Laura Gomez,Manager,Full-time,2012-09-01,,2014-04,152,11.91,1810.32,0,0.0,43.11,270.71,1582.72,Cash,Paid
PAY-E043-2014-04,E043,Javier Lopez,Cashier,Full-time,2013-09-01,,2014-04,163,8.12,1299.2,3,42.63,14.48,179.58,1176.73,Cash,Paid
PAY-E005-2014-04,E005,Ana Torres,Cook,Full-time,2010-02-01,,2014-04,180,9.74,1558.4,20,340.9,30.91,321.5,1608.71,Cash,Paid
PAY-E020-2014-05,E020,Ana Torres,Manager,Part-time,2011-01-01,,2014-05,81,11.91,964.71,0,0.0,17.55,173.52,808.74,Bank Transfer,Paid
PAY-E015-2014-05,E015,Ana Torres,Barista,Part-time,2010-10-01,,2014-05,74,8.66,640.84,0,0.0,12.8,74.44,579.2,Bank Transfer,Paid
PAY-E011-2014-05,E011,Luis Moreno,Barista,Part-time,2010-05-01,,2014-05,90,8.66,779.4,0,0.0,3.77,137.92,645.25,Cash,Paid
PAY-E050-2014-05,E050,Javier Lopez,Cashier,Full-time,2014-01-01,,2014-05,168,8.12,1299.2,8,113.68,37.99,197.19,1253.68,Cash,Delayed
PAY-E020-2014-06,E020,Ana Torres,Manager,Part-time,2011-01-01,,2014-06,84,11.91,1000.44,0,0.0,92.72,159.31,933.85,Bank Transfer,Paid
